play_type,team,time,play_description,period_id,game_id,home_team,home_location,home_nickname,home_score_total,away_team,away_location,away_nickname,away_score_total,goalie_change,penalty,on_ice_situation,score,minute_start,second_start,clock,leader,away_goals,home_goals,sec_from_start,power_play_seconds,time_elapsed,time_remaining,player_name_1,player_jersey_1,home_skaters,away_skaters,penalty_type,penalty_level,penalty_length,start_power_play,end_power_play,shot_result,player_name_2,player_name_3,player_jersey_2,player_jersey_3,shot_type,season
Goalie,Connecticut Whale,00:00,Starting Goalie #32 Jaimie Leonoff,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Jaimie Leonoff,32,5,5,,,,,,,,,,,,2016
Goalie,New York RivetersNYR,00:00,Starting Goalie #33 Nana Fujimoto,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,Starting,0,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,0,00:00,20:00,Starting Goalie  Nana Fujimo,33,5,5,,,,,,,,,,,,2016
Penalty,Connecticut Whale,00:00,#22 Danielle Ward Cross-Checking Minor 2 minsPower Play,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,120,00:00,20:00,Danielle Ward,22,5,5,Cross-Checking,Minor,2 mins,0,120,,,,,,,2016
Penalty,Connecticut Whale,00:00,#61 Kelli Stack Hooking Minor 2 minsPower Play,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,120,00:00,20:00,Kelli Stack,61,5,5,Hooking,Minor,2 mins,0,120,,,,,,,2016
Penalty,Connecticut Whale,00:00,#9 Molly Engstrom Roughing Minor 2 minsPower Play,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,120,00:00,20:00,Molly Engstrom,9,5,5,Roughing,Minor,2 mins,0,120,,,,,,,2016
Penalty,New York RivetersNYR,00:00,#14 Madison Packer Roughing Minor 2 minsPower Play,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,0 - 0 T,0,0,20:00,T,0,0,0,120,00:00,20:00,Madison Packer,14,5,5,Roughing,Minor,2 mins,0,120,,,,,,,2016
Goal,Connecticut Whale,02:28,#56 Jessica Koizumi from #8 Kelly Babstock and #61 Kelli StackEven Strength0 - 1 CTW,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,0 - 1 CTW,2,28,17:32,CTW,0,1 ,148,0,02:28,17:32,Jessica Koizumi,56,6,6,,,,0,120,made,Kelly Babsck,Kelli Stack,8,61,,2016
Penalty,New York RivetersNYR,02:45,#26 Kiira Dosdall-Arena Interference Minor 2 minsPower Play,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,0 - 1 CTW,2,45,17:15,CTW,0,1 ,165,120,02:45,17:15,Kiira Dosdall-Arena,26,6,6,Interference,Minor,2 mins,165,285,,,,,,,2016
Penalty,New York RivetersNYR,08:15,#10 Ashley Johnston Hooking Minor 2 minsPower Play,1,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,0 - 1 CTW,8,15,11:45,CTW,0,1 ,495,120,08:15,11:45,Ashley Johnsn,10,6,6,Hooking,Minor,2 mins,495,615,,,,,,,2016
Goalie,Connecticut Whale,00:00,#32 Jaimie Leonoff replaced by #32 Jaimie Leonoff,2,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,0 - 1 CTW,0,0,20:00,CTW,0,1 ,1200,0,00:00,20:00,Jaimie Leonoff replaced,32,6,6,,,,495,615,,Jaimie Leonoff,,32,,,2016
Goalie,New York RivetersNYR,00:00,#33 Nana Fujimoto replaced by #33 Nana Fujimoto,2,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,0 - 1 CTW,0,0,20:00,CTW,0,1 ,1200,0,00:00,20:00,Nana Fujimo replaced,33,6,6,,,,495,615,,Nana Fujimo,,33,,,2016
Goal,New York RivetersNYR,04:15,#20 Brooke Ammerman from #9 Ludmila BelyakovaEven Strength1 - 1 Tie,2,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,1 - 1 T,4,15,15:45,T,1,1 ,1455,0,04:15,15:45,Brooke Ammerman,20,6,6,,,,495,615,made,Ludmila Belyakovaie,,9,,,2016
Goal,Connecticut Whale,05:25,#61 Kelli Stack from #13 Kaleigh Fratkin and #26 Jordan BricknerEven Strength1 - 2 CTW,2,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,1 - 2 CTW,5,25,14:35,CTW,1,2 ,1525,0,05:25,14:35,Kelli Stack,61,6,6,,,,495,615,made,Kaleigh Fratkin,Jordan Brickner,13,26,,2016
Goalie,Connecticut Whale,00:00,#32 Jaimie Leonoff replaced by #32 Jaimie Leonoff,3,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,1 - 2 CTW,0,0,20:00,CTW,1,2 ,2400,0,00:00,20:00,Jaimie Leonoff replaced,32,6,6,,,,495,615,,Jaimie Leonoff,,32,,,2016
Goalie,New York RivetersNYR,00:00,#33 Nana Fujimoto replaced by #33 Nana Fujimoto,3,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,1 - 2 CTW,0,0,20:00,CTW,1,2 ,2400,0,00:00,20:00,Nana Fujimo replaced,33,6,6,,,,495,615,,Nana Fujimo,,33,,,2016
Goal,Connecticut Whale,10:08,#8 Kelly Babstock from #61 Kelli StackEven Strength1 - 3 CTW,3,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,1 - 3 CTW,10,8,9:52,CTW,1,3 ,3008,0,10:08,9:52,Kelly Babsck,8,6,6,,,,495,615,made,Kelli Stack,,61,,,2016
Goal,Connecticut Whale,11:38,#27 Shiann Darkangelo from #16 Micaela LongEven Strength1 - 4 CTW,3,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,0,Even Strength,1 - 4 CTW,11,38,8:22,CTW,1,4 ,3098,0,11:38,8:22,Shiann Darkangelo,27,6,6,,,,495,615,made,Micaela Long,,16,,,2016
Penalty,New York RivetersNYR,12:02,#4 Elena Orlando Roughing Minor 2 minsPower Play,3,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,1 - 4 CTW,12,2,7:58,CTW,1,4 ,3122,120,12:02,7:58,Elena Orlando,4,6,6,Roughing,Minor,2 mins,3122,3242,,,,,,,2016
Penalty,Connecticut Whale,12:02,#17 Anya Battaglino Slashing Minor 2 minsPower Play,3,40862, Connecticut Whale,"",Connecticut Whale,4, New York Riveters,"",New York Riveters,1,,1,Even Strength,1 - 4 CTW,12,2,7:58,CTW,1,4 ,3122,120,12:02,7:58,Anya Battaglino,17,6,6,Slashing,Minor,2 mins,3122,3242,,,,,,,2016
